aeroporto_partenza,mese,numero_ritardi_basso,numero_ritardi_medio,numero_ritardi_alto,cause_maggiori
AEX,6,144,11,13,"['Carrier (2161 min)', 'NAS (324 min)', 'Late Aircraft (274 min)']"
AEX,7,128,19,23,"['Carrier (2847 min)', 'Weather (1257 min)', 'Late Aircraft (1076 min)']"
AEX,8,153,7,15,"['Carrier (1656 min)', 'Late Aircraft (518 min)', 'Weather (189 min)']"
AEX,9,140,16,15,"['Carrier (1906 min)', 'Late Aircraft (592 min)', 'NAS (335 min)']"
AEX,10,137,14,21,"['Carrier (2660 min)', 'Late Aircraft (785 min)', 'Weather (306 min)']"
AEX,11,136,12,15,"['Carrier (1956 min)', 'Late Aircraft (443 min)', 'Weather (331 min)']"
AEX,12,134,17,6,"['Carrier (1311 min)', 'NAS (400 min)', 'Weather (364 min)']"
AGS,1,154,32,47,"['Carrier (4831 min)', 'Late Aircraft (1767 min)', 'Weather (1627 min)']"
AGS,2,185,24,20,"['Carrier (1866 min)', 'Weather (718 min)', 'Late Aircraft (556 min)']"
AGS,3,211,17,19,"['Carrier (2067 min)', 'Late Aircraft (1455 min)', 'NAS (304 min)']"
AGS,4,373,75,32,"['Late Aircraft (2329 min)', 'Carrier (2145 min)', 'NAS (952 min)']"
AGS,5,247,28,33,"['Carrier (2749 min)', 'Late Aircraft (2578 min)', 'NAS (868 min)']"
AGS,6,315,29,21,"['Carrier (1644 min)', 'Late Aircraft (1077 min)', 'NAS (774 min)']"
AGS,7,259,39,60,"['Late Aircraft (5088 min)', 'Carrier (4236 min)', 'NAS (2118 min)']"
AGS,8,292,32,26,"['Carrier (2767 min)', 'Late Aircraft (2036 min)', 'NAS (604 min)']"
AGS,9,305,29,38,"['Late Aircraft (3276 min)', 'Carrier (2507 min)', 'Weather (1333 min)']"
AGS,10,262,32,44,"['Weather (3156 min)', 'Carrier (2234 min)', 'Late Aircraft (2216 min)']"
AGS,11,281,27,14,"['Carrier (1358 min)', 'NAS (814 min)', 'Weather (598 min)']"
AGS,12,210,39,38,"['Carrier (4275 min)', 'Late Aircraft (1854 min)', 'NAS (1238 min)']"
AKN,4,4,0,0,"['Carrier (0 min)', 'Weather (0 min)', 'NAS (0 min)']"
AKN,5,16,2,0,"['NAS (20 min)', 'Late Aircraft (15 min)', 'Carrier (0 min)']"
AKN,6,34,2,0,"['NAS (138 min)', 'Late Aircraft (42 min)', 'Security (3 min)']"
AKN,7,38,6,2,"['Late Aircraft (263 min)', 'Security (115 min)', 'NAS (104 min)']"
AKN,8,29,6,0,"['Late Aircraft (79 min)', 'NAS (44 min)', 'Carrier (18 min)']"
AKN,9,23,6,0,"['Late Aircraft (132 min)', 'Security (22 min)', 'Carrier (10 min)']"
ALB,1,614,110,61,"['Late Aircraft (5709 min)', 'NAS (3890 min)', 'Carrier (2911 min)']"
ALB,2,653,80,35,"['Late Aircraft (2762 min)', 'Carrier (2324 min)', 'NAS (1514 min)']"
ALB,3,725,131,69,"['Late Aircraft (6524 min)', 'NAS (4083 min)', 'Carrier (3062 min)']"
ALB,4,786,112,58,"['Carrier (7453 min)', 'Late Aircraft (5223 min)', 'NAS (4423 min)']"
ALB,5,770,137,72,"['Late Aircraft (6044 min)', 'NAS (3399 min)', 'Carrier (3283 min)']"
ALB,6,769,135,84,"['Carrier (7533 min)', 'Late Aircraft (6334 min)', 'NAS (3840 min)']"
ALB,7,707,161,141,"['Late Aircraft (14002 min)', 'Carrier (8709 min)', 'NAS (5413 min)']"
ALB,8,792,151,102,"['Carrier (8335 min)', 'Late Aircraft (7657 min)', 'NAS (4986 min)']"
ALB,9,899,95,32,"['Carrier (4125 min)', 'Late Aircraft (3094 min)', 'NAS (1494 min)']"
ALB,10,878,118,29,"['Carrier (3829 min)', 'Late Aircraft (2272 min)', 'NAS (711 min)']"
ALB,11,748,69,32,"['Carrier (3224 min)', 'Late Aircraft (2582 min)', 'NAS (944 min)']"
ALB,12,701,142,99,"['Late Aircraft (9519 min)', 'Carrier (9498 min)', 'NAS (3791 min)']"
ALW,1,42,3,4,"['Late Aircraft (415 min)', 'Weather (390 min)', 'Carrier (298 min)']"
ALW,2,52,1,2,"['Late Aircraft (231 min)', 'NAS (196 min)', 'Carrier (0 min)']"
ALW,3,60,1,1,"['Weather (63 min)', 'Late Aircraft (44 min)', 'Carrier (17 min)']"
ALW,4,59,0,1,"['Late Aircraft (74 min)', 'Carrier (17 min)', 'Weather (0 min)']"
ALW,5,57,3,0,"['Late Aircraft (29 min)', 'Carrier (15 min)', 'NAS (9 min)']"
ALW,6,52,3,4,"['Late Aircraft (255 min)', 'Carrier (198 min)', 'NAS (68 min)']"
ALW,7,50,10,0,"['Late Aircraft (182 min)', 'Carrier (58 min)', 'NAS (37 min)']"
ALW,8,53,6,2,"['Late Aircraft (381 min)', 'NAS (106 min)', 'Carrier (18 min)']"
ALW,9,52,6,2,"['Late Aircraft (217 min)', 'Carrier (180 min)', 'NAS (121 min)']"
AMA,1,299,40,30,"['Late Aircraft (3420 min)', 'Carrier (1980 min)', 'NAS (1282 min)']"
AMA,2,333,29,9,"['NAS (882 min)', 'Carrier (569 min)', 'Late Aircraft (538 min)']"
AMA,3,363,33,24,"['Late Aircraft (1944 min)', 'Carrier (1609 min)', 'NAS (941 min)']"
AMA,4,307,29,26,"['Late Aircraft (2163 min)', 'NAS (1487 min)', 'Carrier (1240 min)']"
AMA,5,295,58,51,"['Late Aircraft (3445 min)', 'Weather (2756 min)', 'NAS (2091 min)']"
AMA,6,340,60,39,"['Late Aircraft (3929 min)', 'Carrier (2154 min)', 'Weather (1663 min)']"
AMA,7,362,71,30,"['Late Aircraft (3031 min)', 'Carrier (2457 min)', 'NAS (992 min)']"
AMA,8,381,50,26,"['Carrier (3070 min)', 'Late Aircraft (1511 min)', 'NAS (883 min)']"
AMA,9,374,29,21,"['Carrier (1660 min)', 'Late Aircraft (1505 min)', 'NAS (1005 min)']"
AMA,10,403,42,13,"['Late Aircraft (1943 min)', 'Carrier (686 min)', 'NAS (535 min)']"
AMA,11,337,35,20,"['Carrier (1746 min)', 'Late Aircraft (1304 min)', 'NAS (1192 min)']"
AMA,12,347,33,30,"['Late Aircraft (2621 min)', 'Carrier (1463 min)', 'NAS (1138 min)']"
ANC,1,716,165,100,"['Late Aircraft (7467 min)', 'Carrier (6609 min)', 'NAS (3504 min)']"
ANC,2,869,96,41,"['Carrier (6794 min)', 'Late Aircraft (2947 min)', 'NAS (1847 min)']"
ANC,3,998,152,77,"['Carrier (6721 min)', 'Late Aircraft (5727 min)', 'NAS (1461 min)']"
ANC,4,1037,148,63,"['Carrier (4694 min)', 'Late Aircraft (4370 min)', 'NAS (1322 min)']"
ANC,5,1374,189,54,"['Carrier (6459 min)', 'Late Aircraft (4246 min)', 'NAS (1291 min)']"
ANC,6,1729,239,71,"['Carrier (7856 min)', 'Late Aircraft (7186 min)', 'NAS (3050 min)']"
ANC,7,1707,377,110,"['Carrier (16178 min)', 'Late Aircraft (9052 min)', 'NAS (4460 min)']"
ANC,8,1728,333,87,"['Carrier (11094 min)', 'Late Aircraft (9937 min)', 'NAS (2291 min)']"
ANC,9,1392,160,45,"['Carrier (5748 min)', 'Late Aircraft (3075 min)', 'NAS (1310 min)']"
ANC,10,1079,106,57,"['Carrier (5515 min)', 'Weather (2827 min)', 'NAS (2459 min)']"
ANC,11,943,101,26,"['Carrier (2502 min)', 'Late Aircraft (1837 min)', 'NAS (1135 min)']"
ANC,12,916,127,42,"['Late Aircraft (5408 min)', 'Carrier (3259 min)', 'NAS (1593 min)']"
APN,1,26,3,8,"['Carrier (845 min)', 'Weather (322 min)', 'NAS (305 min)']"
APN,2,31,1,7,"['Carrier (410 min)', 'Weather (321 min)', 'NAS (55 min)']"
APN,3,45,1,3,"['Weather (837 min)', 'Carrier (147 min)', 'Security (12 min)']"
APN,4,41,1,5,"['Weather (535 min)', 'Carrier (521 min)', 'NAS (12 min)']"
APN,5,43,5,5,"['Weather (685 min)', 'Carrier (189 min)', 'NAS (45 min)']"
APN,6,38,2,9,"['Carrier (1439 min)', 'Weather (809 min)', 'NAS (11 min)']"
APN,7,40,4,6,"['Carrier (898 min)', 'Weather (81 min)', 'Security (23 min)']"
APN,8,41,2,9,"['Carrier (1079 min)', 'NAS (132 min)', 'Weather (75 min)']"
APN,9,45,4,4,"['Carrier (396 min)', 'Weather (281 min)', 'NAS (2 min)']"
APN,10,46,1,4,"['Carrier (504 min)', 'NAS (75 min)', 'Weather (0 min)']"
APN,11,45,3,3,"['Carrier (494 min)', 'NAS (43 min)', 'Weather (0 min)']"
APN,12,32,10,8,"['Carrier (1666 min)', 'NAS (82 min)', 'Weather (28 min)']"
ASE,1,491,184,129,"['Carrier (8937 min)', 'Late Aircraft (7667 min)', 'Weather (6294 min)']"
ASE,2,413,175,167,"['Weather (8336 min)', 'NAS (7490 min)', 'Carrier (6971 min)']"
ASE,3,472,197,186,"['Weather (11395 min)', 'Late Aircraft (9382 min)', 'Carrier (8509 min)']"
ASE,4,333,63,41,"['Carrier (5370 min)', 'Weather (2469 min)', 'Late Aircraft (1429 min)']"
ASE,5,124,29,36,"['Carrier (2560 min)', 'Late Aircraft (1861 min)', 'Weather (1401 min)']"
ASE,6,472,81,73,"['Carrier (5480 min)', 'Late Aircraft (4370 min)', 'Weather (3090 min)']"
ASE,7,524,89,64,"['Weather (5319 min)', 'Late Aircraft (3858 min)', 'Carrier (3617 min)']"
ASE,8,447,102,81,"['Carrier (5971 min)', 'Late Aircraft (4548 min)', 'NAS (2507 min)']"
ASE,9,380,61,76,"['Carrier (4973 min)', 'Late Aircraft (3696 min)', 'Weather (2799 min)']"
ASE,10,382,42,33,"['Carrier (3893 min)', 'Weather (1102 min)', 'Late Aircraft (946 min)']"
ASE,11,250,39,45,"['Weather (2302 min)', 'Late Aircraft (2225 min)', 'Carrier (2181 min)']"
ASE,12,361,117,149,"['Carrier (9322 min)', 'Weather (8679 min)', 'NAS (8025 min)']"
ATL,1,20112,3738,1683,"['Carrier (141665 min)', 'Late Aircraft (105108 min)', 'NAS (60370 min)']"
ATL,2,21446,2308,663,"['Carrier (80081 min)', 'NAS (34599 min)', 'Late Aircraft (34376 min)']"
ATL,3,22744,3960,1411,"['Carrier (136141 min)', 'Late Aircraft (82315 min)', 'NAS (66481 min)']"
ATL,4,23225,3649,1378,"['Carrier (131318 min)', 'Late Aircraft (84079 min)', 'NAS (72507 min)']"
ATL,5,22144,4907,2613,"['Late Aircraft (195174 min)', 'Carrier (184145 min)', 'NAS (129093 min)']"
ATL,6,22945,4427,1743,"['Carrier (166765 min)', 'Late Aircraft (100603 min)', 'NAS (80716 min)']"
ATL,7,18018,5556,4646,"['Carrier (478702 min)', 'Late Aircraft (256895 min)', 'NAS (133109 min)']"
ATL,8,23058,4003,1975,"['Carrier (178934 min)', 'Late Aircraft (107068 min)', 'NAS (96427 min)']"
ATL,9,23457,3135,1227,"['Carrier (121824 min)', 'Late Aircraft (82415 min)', 'NAS (40356 min)']"
ATL,10,25846,2747,742,"['Carrier (91997 min)', 'Late Aircraft (41063 min)', 'NAS (22905 min)']"
ATL,11,24090,2890,846,"['Carrier (89669 min)', 'Late Aircraft (48647 min)', 'NAS (44466 min)']"
ATL,12,22164,4741,1817,"['Carrier (171019 min)', 'Late Aircraft (118749 min)', 'NAS (62542 min)']"
ATW,1,288,44,61,"['Carrier (7879 min)', 'Weather (2896 min)', 'NAS (1912 min)']"
ATW,2,315,26,38,"['Carrier (4944 min)', 'Weather (3869 min)', 'NAS (1169 min)']"
ATW,3,390,47,33,"['Carrier (5720 min)', 'NAS (1556 min)', 'Late Aircraft (935 min)']"
ATW,4,408,34,36,"['Carrier (7226 min)', 'Late Aircraft (2867 min)', 'Weather (2658 min)']"
ATW,5,411,47,50,"['Carrier (3385 min)', 'Late Aircraft (3090 min)', 'Weather (2149 min)']"
ATW,6,383,53,64,"['Carrier (7269 min)', 'Late Aircraft (3361 min)', 'NAS (1736 min)']"
ATW,7,404,56,43,"['Carrier (4812 min)', 'Late Aircraft (1645 min)', 'NAS (1579 min)']"
ATW,8,390,38,52,"['Carrier (5952 min)', 'Late Aircraft (1768 min)', 'NAS (1573 min)']"
ATW,9,403,47,35,"['Carrier (3420 min)', 'Late Aircraft (1749 min)', 'NAS (474 min)']"
ATW,10,460,29,33,"['Carrier (3762 min)', 'Late Aircraft (1444 min)', 'NAS (324 min)']"
ATW,11,433,46,44,"['Carrier (4347 min)', 'Weather (2226 min)', 'Late Aircraft (1685 min)']"
ATW,12,396,64,77,"['Carrier (8641 min)', 'Weather (4250 min)', 'NAS (2322 min)']"
AUS,1,4692,1105,525,"['Late Aircraft (58942 min)', 'Carrier (31241 min)', 'NAS (17263 min)']"
AUS,2,4919,607,216,"['Late Aircraft (19493 min)', 'Carrier (15433 min)', 'NAS (12381 min)']"
AUS,3,5318,1148,531,"['Late Aircraft (49674 min)', 'Carrier (27629 min)', 'NAS (20983 min)']"
AUS,4,5458,1191,500,"['Late Aircraft (53048 min)', 'Carrier (30144 min)', 'NAS (18463 min)']"
AUS,5,4981,1627,1055,"['Late Aircraft (94224 min)', 'Carrier (68565 min)', 'NAS (37019 min)']"
AUS,6,5285,1457,690,"['Late Aircraft (63106 min)', 'Carrier (51866 min)', 'NAS (19937 min)']"
AUS,7,4958,1613,940,"['Late Aircraft (90145 min)', 'Carrier (57432 min)', 'NAS (23729 min)']"
AUS,8,5619,905,487,"['Late Aircraft (47909 min)', 'Carrier (33950 min)', 'NAS (15188 min)']"
AUS,9,5783,692,222,"['Late Aircraft (22963 min)', 'Carrier (21297 min)', 'NAS (10221 min)']"
AUS,10,6239,757,262,"['Late Aircraft (25721 min)', 'Carrier (23323 min)', 'NAS (9658 min)']"
AUS,11,5676,735,306,"['Late Aircraft (26102 min)', 'Carrier (17121 min)', 'NAS (14640 min)']"
AUS,12,5269,1001,515,"['Late Aircraft (48347 min)', 'Carrier (30141 min)', 'NAS (18078 min)']"
