aeroporto_partenza,mese,numero_ritardi_basso,dep_avg_basso,arr_avg_basso,numero_ritardi_medio,dep_avg_medio,arr_avg_medio,numero_ritardo_alto,dep_avg_alto,arr_avg_alto,cause_maggiori
IAG,7,15,-2.07,3.2,14,34.57,33.36,4,142.5,148.5,"['Late Aircraft (12 voli)', 'Carrier (9 voli)', 'NAS (9 voli)']"
IAG,8,13,-2.69,-4.31,8,25.13,34.25,2,118.0,105.5,"['NAS (8 voli)', 'Late Aircraft (6 voli)', 'Carrier (4 voli)']"
IAG,9,13,-3.31,-12.23,3,21.33,14.33,1,371.0,352.0,"['Carrier (2 voli)', 'Late Aircraft (2 voli)', 'NAS (2 voli)']"
IAG,10,14,-5.36,-10.93,4,29.25,29.5,2,778.5,777.0,"['Carrier (3 voli)', 'Late Aircraft (2 voli)', 'NAS (2 voli)']"
IAG,11,17,-4.24,-12.82,3,30.0,16.0,1,142.0,145.0,"['NAS (2 voli)', 'Carrier (1 voli)', 'Late Aircraft (1 voli)']"
IAG,12,22,-8.32,-12.95,4,26.0,27.0,4,106.25,97.75,"['NAS (4 voli)', 'Late Aircraft (4 voli)', 'Weather (3 voli)']"
IAH,1,5966,-1.52,-6.63,1252,31.26,25.65,888,159.07,157.51,"['Carrier (1597 voli)', 'NAS (1078 voli)', 'Late Aircraft (1053 voli)']"
IAH,2,7057,-3.05,-7.12,804,31.06,25.27,388,128.42,121.26,"['Carrier (746 voli)', 'NAS (717 voli)', 'Late Aircraft (453 voli)']"
IAH,3,7085,-2.11,-7.55,1398,31.47,24.33,815,149.89,143.61,"['Carrier (1221 voli)', 'NAS (1065 voli)', 'Late Aircraft (1003 voli)']"
IAH,4,7066,-2.05,-6.41,1289,31.5,26.45,708,129.34,123.03,"['Carrier (1230 voli)', 'NAS (1106 voli)', 'Late Aircraft (987 voli)']"
IAH,5,6018,-0.93,-3.33,1694,32.58,30.3,1982,161.35,160.83,"['Carrier (2171 voli)', 'NAS (2054 voli)', 'Late Aircraft (1953 voli)']"
IAH,6,6736,-0.6,-4.1,1771,32.24,28.54,1326,143.91,140.39,"['Carrier (2033 voli)', 'Late Aircraft (1561 voli)', 'NAS (1539 voli)']"
IAH,7,5474,-0.37,-3.73,2066,33.45,29.79,1959,144.79,139.79,"['Carrier (2878 voli)', 'Late Aircraft (2163 voli)', 'NAS (2030 voli)']"
IAH,8,7494,-1.9,-7.02,1555,31.43,24.87,965,141.19,135.54,"['Carrier (1531 voli)', 'Late Aircraft (1194 voli)', 'NAS (1146 voli)']"
IAH,9,7663,-3.41,-9.0,1037,31.69,24.09,540,121.17,110.57,"['Carrier (873 voli)', 'Late Aircraft (718 voli)', 'NAS (670 voli)']"
IAH,10,8471,-2.96,-9.81,975,30.66,22.9,487,138.17,128.46,"['Carrier (851 voli)', 'NAS (615 voli)', 'Late Aircraft (600 voli)']"
IAH,11,7867,-2.71,-7.84,987,30.95,24.22,500,133.32,127.15,"['Carrier (863 voli)', 'NAS (802 voli)', 'Late Aircraft (552 voli)']"
IAH,12,6959,-1.24,-7.13,1433,31.43,25.04,862,154.05,153.23,"['Carrier (1403 voli)', 'NAS (1084 voli)', 'Late Aircraft (941 voli)']"
ICT,1,573,-4.17,-5.74,72,30.42,32.9,66,176.82,181.52,"['NAS (112 voli)', 'Late Aircraft (75 voli)', 'Carrier (71 voli)']"
ICT,2,600,-5.53,-9.85,48,34.63,28.17,24,129.75,125.38,"['Carrier (38 voli)', 'NAS (37 voli)', 'Late Aircraft (27 voli)']"
ICT,3,637,-4.5,-9.01,61,32.18,25.9,45,159.4,155.47,"['Late Aircraft (64 voli)', 'NAS (56 voli)', 'Carrier (46 voli)']"
ICT,4,683,-4.57,-9.45,80,33.95,32.04,49,192.78,190.19,"['Carrier (64 voli)', 'Late Aircraft (61 voli)', 'NAS (59 voli)']"
ICT,5,648,-2.69,-5.68,114,30.91,29.95,82,185.11,188.65,"['NAS (127 voli)', 'Carrier (108 voli)', 'Late Aircraft (95 voli)']"
ICT,6,706,-3.93,-8.48,109,32.01,28.11,90,174.34,169.41,"['Carrier (100 voli)', 'Late Aircraft (100 voli)', 'NAS (73 voli)']"
ICT,7,734,-3.68,-6.28,116,33.02,31.11,69,135.78,131.62,"['Late Aircraft (114 voli)', 'Carrier (103 voli)', 'NAS (79 voli)']"
ICT,8,751,-5.18,-9.2,90,33.54,29.25,70,141.41,128.87,"['Late Aircraft (79 voli)', 'Carrier (73 voli)', 'NAS (68 voli)']"
ICT,9,734,-5.38,-8.21,48,34.15,31.81,31,203.81,200.9,"['NAS (57 voli)', 'Carrier (46 voli)', 'Late Aircraft (44 voli)']"
ICT,10,772,-5.41,-11.04,69,32.32,26.99,35,152.34,145.26,"['Carrier (58 voli)', 'NAS (45 voli)', 'Late Aircraft (39 voli)']"
ICT,11,762,-4.81,-8.93,102,33.82,29.58,67,149.88,145.38,"['Carrier (107 voli)', 'NAS (85 voli)', 'Late Aircraft (73 voli)']"
ICT,12,698,-3.93,-8.37,91,30.55,23.7,45,194.04,190.98,"['Carrier (79 voli)', 'NAS (63 voli)', 'Late Aircraft (57 voli)']"
IDA,1,174,-5.78,-12.16,23,30.48,28.09,13,370.54,363.77,"['NAS (21 voli)', 'Weather (17 voli)', 'Carrier (16 voli)']"
IDA,2,136,-6.54,-10.82,9,31.89,20.11,16,311.94,307.06,"['NAS (14 voli)', 'Carrier (11 voli)', 'Weather (8 voli)']"
IDA,3,164,-5.66,-10.25,17,30.12,34.65,16,218.06,217.81,"['Carrier (21 voli)', 'NAS (20 voli)', 'Late Aircraft (16 voli)']"
IDA,4,229,-6.86,-11.54,14,25.29,20.71,13,161.54,151.23,"['Carrier (12 voli)', 'NAS (9 voli)', 'Weather (6 voli)']"
IDA,5,267,-5.92,-11.12,25,31.56,23.2,22,143.0,137.45,"['Carrier (22 voli)', 'NAS (20 voli)', 'Weather (11 voli)']"
IDA,6,269,-6.02,-11.79,21,30.76,24.05,24,203.5,198.25,"['Carrier (27 voli)', 'NAS (15 voli)', 'Late Aircraft (12 voli)']"
IDA,7,260,-5.64,-10.42,27,34.59,28.96,29,117.03,112.45,"['Carrier (30 voli)', 'Late Aircraft (22 voli)', 'NAS (21 voli)']"
IDA,8,265,-5.83,-9.21,35,34.6,33.37,10,102.6,98.8,"['Carrier (22 voli)', 'NAS (18 voli)', 'Late Aircraft (15 voli)']"
IDA,9,268,-6.35,-10.26,20,37.15,33.0,8,154.5,145.25,"['Carrier (17 voli)', 'NAS (14 voli)', 'Late Aircraft (7 voli)']"
IDA,10,246,-5.58,-11.27,28,35.61,29.81,21,187.76,181.38,"['Carrier (33 voli)', 'NAS (20 voli)', 'Late Aircraft (7 voli)']"
IDA,11,256,-6.17,-8.24,26,30.0,32.0,13,192.92,187.69,"['NAS (33 voli)', 'Carrier (29 voli)', 'Late Aircraft (15 voli)']"
IDA,12,254,-5.09,-8.85,24,29.38,16.33,29,399.93,402.03,"['Carrier (31 voli)', 'NAS (31 voli)', 'Late Aircraft (18 voli)']"
ILM,1,395,-5.33,-9.37,50,33.94,28.74,34,164.91,169.24,"['Late Aircraft (59 voli)', 'NAS (43 voli)', 'Carrier (25 voli)']"
ILM,2,412,-5.66,-11.2,31,35.32,25.13,12,171.83,172.92,"['Late Aircraft (24 voli)', 'NAS (22 voli)', 'Carrier (16 voli)']"
ILM,3,427,-5.15,-11.28,32,33.22,26.5,28,159.82,153.57,"['Late Aircraft (36 voli)', 'NAS (24 voli)', 'Carrier (22 voli)']"
ILM,4,487,-4.66,-5.79,66,30.0,29.32,37,125.92,129.56,"['NAS (76 voli)', 'Late Aircraft (72 voli)', 'Carrier (33 voli)']"
ILM,5,547,-5.07,-6.76,66,31.86,32.41,53,160.98,163.49,"['Late Aircraft (99 voli)', 'NAS (90 voli)', 'Carrier (35 voli)']"
ILM,6,569,-4.55,-9.38,80,31.83,28.26,59,187.34,183.53,"['Late Aircraft (86 voli)', 'NAS (78 voli)', 'Carrier (49 voli)']"
ILM,7,582,-3.77,-6.29,114,33.17,33.58,110,173.58,179.69,"['Late Aircraft (163 voli)', 'NAS (156 voli)', 'Carrier (103 voli)']"
ILM,8,629,-3.87,-7.5,114,33.19,34.94,72,131.85,127.76,"['Late Aircraft (133 voli)', 'NAS (122 voli)', 'Carrier (80 voli)']"
